Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
Q12508,E3 ubiquitin-protein ligase RMD5 (EC 2.3.2.27) (Glucose-induced degradation protein 2) (Required for meiotic nuclear division protein 5) (Sporulation protein RMD5),YDR255C,negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
P39975,Sporulation protein RMD6 (Required for meiotic nuclear division protein 6),YEL072W,meiotic cell cycle [GO:0051321]; sporulation resulting in formation of a cellular spore [GO:0030435]
P53875,"54S ribosomal protein L19, mitochondrial (Mitochondrial large ribosomal subunit protein uL11m) (YmL19)",YNL185C,mitochondrial translation [GO:0032543]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
P36526,"54S ribosomal protein L27, mitochondrial (Mitochondrial large ribosomal subunit protein mL41) (YmL27)",YBR282W,mitochondrial translation [GO:0032543]; translation [GO:0006412]
P40858,"54S ribosomal protein L49, mitochondrial (Mitochondrial large ribosomal subunit protein bL21m) (YmL49)",YJL096W,mitochondrial translation [GO:0032543]
P25042,Repressor ROX1 (Heme-dependent repression factor) (Hypoxic function repressor),YPR065W,cellular response to osmotic stress [GO:0071470]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to stress [GO:0097201]
P07703,DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40),YPR110C,ribosome biogenesis [GO:0042254]; termination of RNA polymerase III transcription [GO:0006386]; transcription by RNA polymerase I [GO:0006360]; transposon integration [GO:0070893]; tRNA transcription by RNA polymerase III [GO:0042797]
P04051,DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160),YOR116C,termination of RNA polymerase III transcription [GO:0006386]; tRNA transcription by RNA polymerase III [GO:0042797]
P34087,DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (B16),YDR404C,"nuclear-transcribed mRNA catabolic process, exonucleolytic [GO:0000291]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of translational initiation [GO:0045948]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]"
P46969,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (RPE),YJL121C,"cellular carbohydrate metabolic process [GO:0044262]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]"
P27999,DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (B12.6) (DNA-directed RNA polymerase II 14.2 kDa polypeptide) (DNA-directed RNA polymerase II subunit 9),YGL070C,"cellular response to DNA damage stimulus [GO:0006974]; maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter [GO:0001193]; mRNA cleavage [GO:0006379]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription initiation from RNA polymerase II promoter [GO:0006367]"
O14455,60S ribosomal protein L36-B (L39) (Large ribosomal subunit protein eL36-B) (YL39),YPL249C-A,cytoplasmic translation [GO:0002181]
P14126,60S ribosomal protein L3 (Large ribosomal subunit protein uL3) (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1),YOR063W,cytoplasmic translation [GO:0002181]; maintenance of translational fidelity [GO:1990145]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]
P29478,Signal recognition particle subunit SEC65,YML105C,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition [GO:0006617]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]"
P33754,Translocation protein SEC66 (Protein HSS1) (Sec62/63 complex 31.5 kDa subunit),YBR171W,"filamentous growth [GO:0030447]; posttranslational protein targeting to membrane, translocation [GO:0031204]"
P40357,Protein transport protein SEC9,YGR009C,exocytosis [GO:0006887]; protein transport [GO:0015031]; SNARE complex assembly [GO:0035493]; vesicle fusion [GO:0006906]
P51862,RHO1 GDP-GTP exchange protein 2,YLR371W,activation of GTPase activity [GO:0090630]; establishment of cell polarity [GO:0030010]; negative regulation of cAMP-mediated signaling [GO:0043951]; positive regulation of endocytosis [GO:0045807]; positive regulation of mitotic actomyosin contractile ring assembly [GO:1903501]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of Rho protein signal transduction [GO:0035023]; small GTPase mediated signal transduction [GO:0007264]
P43602,Protein ROG3 (Revertant of glycogen synthase kinase mutation protein 3),YFR022W,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; positive regulation of receptor internalization [GO:0002092]; ubiquitin-dependent endocytosis [GO:0070086]
P45818,ATP-dependent RNA helicase ROK1 (EC 3.6.4.13) (Rescuer of KEM1 protein 1),YGL171W,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA [GO:0030490]; rRNA methylation [GO:0031167]; snoRNA localization [GO:0048254]"
P10862,Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18) (Radiation sensitivity protein 18),YCR066W,error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; postreplication repair [GO:0006301]; protein monoubiquitination [GO:0006513]; response to UV [GO:0009411]
P06777,DNA repair protein RAD1,YPL022W,"DNA amplification [GO:0006277]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via single-strand annealing, removal of nonhomologous ends [GO:0000736]; meiotic mismatch repair [GO:0000710]; mitotic recombination [GO:0006312]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; removal of nonhomologous ends [GO:0000735]; resolution of meiotic recombination intermediates [GO:0000712]"
P38953,DNA repair protein RAD55,YDR076W,DNA recombinase assembly [GO:0000730]; heteroduplex formation [GO:0030491]; meiotic DNA recombinase assembly [GO:0000707]
P32641,Checkpoint protein RAD24,YER173W,DNA damage checkpoint [GO:0000077]; mitotic DNA replication checkpoint [GO:0033314]; nucleotide-excision repair [GO:0006289]; reciprocal meiotic recombination [GO:0007131]
P40352,DNA repair and recombination protein RAD26 (EC 3.6.4.12) (ATP-dependent helicase RAD26),YJR035W,histone H2A-H2B dimer displacement [GO:0001208]; nucleotide-excision repair [GO:0006289]; regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage [GO:0010767]; transcription-coupled nucleotide-excision repair [GO:0006283]
P32864,Rab proteins geranylgeranyltransferase component A (Rab escort protein) (REP),YOR370C,activation of GTPase activity [GO:0090630]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein geranylgeranylation [GO:0018344]; protein targeting to membrane [GO:0006612]; small GTPase mediated signal transduction [GO:0007264]
P01119,Ras-like protein 1,YOR101W,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; positive regulation of adenylate cyclase activity [GO:0045762]; protein localization to bud neck [GO:0097271]; replicative cell aging [GO:0001302]
Q12270,Rhomboid protein 2 (EC 3.4.21.-),YPL246C,
P00128,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c reductase c reductase complex 14 kDa protein),YDR529C,"aerobic respiration [GO:0009060]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]"
Q08096,RNA 3'-terminal phosphate cyclase-like protein,YOL010W,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]"
Q12044,Regulator of calcineurin 2 (Weak suppressor of PAT1 ts protein 1),YOR220W,
P39531,Recyclin-1,YJL204C,early endosome to Golgi transport [GO:0034498]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]; vesicle docking [GO:0048278]
P22216,Serine/threonine-protein kinase RAD53 (EC 2.7.12.1) (CHEK2 homolog) (Serine-protein kinase 1),YPL153C,deoxyribonucleoside triphosphate biosynthetic process [GO:0009202]; DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]; DNA replication initiation [GO:0006270]; mitotic DNA damage checkpoint [GO:0044773]; negative regulation of phosphorylation [GO:0042326]; nucleobase-containing compound metabolic process [GO:0006139]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; signal transduction in response to DNA damage [GO:0042770]
Q05672,RNA-binding suppressor of PAS kinase protein 1,YDL189W,galactose metabolic process [GO:0006012]; RNA polymerase III assembly [GO:1990115]
Q08904,Protein RDR1 (Repressor of drug resistance protein 1),YOR380W,"response to xenobiotic stimulus [GO:0009410]; transcription, DNA-templated [GO:0006351]"
Q08742,"Thiosulfate sulfurtransferase RDL2, mitochondrial (EC 2.8.1.1) (Altered inheritance of mitochondria protein 42) (Found in mitochondrial proteome protein 31) (Rhodanese-like protein 2)",YOR286W,
P30402,Orotate phosphoribosyltransferase 2 (OPRT 2) (OPRTase 2) (EC 2.4.2.10),YMR271C,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; pyrimidine nucleotide biosynthetic process [GO:0006221]; pyrimidine ribonucleoside biosynthetic process [GO:0046132]
P53721,"Respiratory supercomplex factor 2, mitochondrial (Altered inheritance of mitochondria protein 38)",YNR018W,mitochondrial respiratory chain complex IV assembly [GO:0033617]
Q06835,Pre-mRNA-splicing factor RDS3 (Regulator of drug sensitivity 3),YPR094W,"mRNA splicing, via spliceosome [GO:0000398]; response to xenobiotic stimulus [GO:0009410]; spliceosomal complex assembly [GO:0000245]"
Q12223,DNA repair protein RAD59,YDL059C,DNA amplification [GO:0006277]; DNA strand renaturation [GO:0000733]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via single-strand annealing [GO:0045002]; mitotic recombination [GO:0006312]; regulation of DNA biosynthetic process [GO:2000278]; telomere maintenance via recombination [GO:0000722]
P25332,Ribokinase (RK) (EC 2.7.1.15),YCR036W,carbohydrate phosphorylation [GO:0046835]; D-ribose catabolic process [GO:0019303]; D-ribose metabolic process [GO:0006014]
Q04779,Transcriptional regulatory protein RCO1,YMR075W,histone deacetylation [GO:0016575]; negative regulation of antisense RNA transcription [GO:0060195]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transfer RNA gene-mediated silencing [GO:0061587]
P33323,Meiotic recombination protein REC104,YHR157W,meiotic DNA double-strand break formation [GO:0042138]; reciprocal meiotic recombination [GO:0007131]
P32841,Meiotic recombination protein REC114,YMR133W,meiotic DNA double-strand break formation [GO:0042138]; reciprocal meiotic recombination [GO:0007131]
P21827,Guanine nucleotide exchange factor SRM1 (Pheromone response pathway component SRM1) (Pre-mRNA-processing protein 20) (Regulator of chromosome condensation) (Suppressor of receptor mutations 1) (mRNA transport protein 1),YGL097W,cell cycle [GO:0007049]; cell division [GO:0051301]; poly(A)+ mRNA export from nucleus [GO:0016973]; response to pheromone [GO:0019236]; ribosomal subunit export from nucleus [GO:0000054]; rRNA export from nucleus [GO:0006407]
Q03530,CAAX prenyl protease 2 (EC 3.4.22.-) (Prenyl protein-specific endoprotease 2) (PPSEP 2) (Ras and A-factor-converting enzyme) (RACE),YMR274C,CAAX-box protein processing [GO:0071586]; peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion [GO:0071432]; response to pheromone [GO:0019236]
P36054,Calcipressin-like protein (Down syndrome candidate region 1-like protein) (Regulator of calcineurin 1),YKL159C,calcium-mediated signaling [GO:0019722]; regulation of calcineurin-NFAT signaling cascade [GO:0070884]
P21538,DNA-binding protein REB1 (QBP),YBR049C,regulation of transcription by RNA polymerase II [GO:0006357]; termination of RNA polymerase II transcription [GO:0006369]; termination of RNA polymerase I transcription [GO:0006363]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]
P25560,Protein RER1 (Retention of ER proteins 1),YCL001W,"protein retention in ER lumen [GO:0006621]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]"
P38086,DNA repair and recombination protein RDH54 (RAD homolog 54) (Recombination factor TID1) (Two hybrid interaction with DMC1 protein 1) [Includes: DNA topoisomerase (EC 5.99.1.-); Putative helicase (EC 3.6.4.12)],YBR073W,DNA duplex unwinding [GO:0032508]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; heteroduplex formation [GO:0030491]; meiotic sister chromatid segregation [GO:0045144]; reciprocal meiotic recombination [GO:0007131]
P25611,Regulator of drug sensitivity 1,YCR106W,positive regulation of transcription by RNA polymerase II [GO:0045944]; response to xenobiotic stimulus [GO:0009410]
