Q9HPK2,Uncharacterized solute-binding protein VNG_1595C,VNG_1595C,
Q9HPH7,Putative ABC transporter ATP-binding protein VNG_1631G (EC 3.6.3.-),VNG_1631G,cobalt ion transport [GO:0006824]
Q06847,Uncharacterized protein VNG_1688C,VNG_1688C,
Q9HQS4,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),VNG_1027G,gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]
Q9HMZ4,Putative ABC transporter ATP-binding protein VNG_2317G (EC 3.6.3.-),VNG_2317G,
Q9HNP6,tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I),VNG_2003G,tRNA pseudouridine synthesis [GO:0031119]
Q9HPA4,Probable tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase),VNG_1729G,box H/ACA snoRNA 3'-end processing [GO:0000495]; mRNA pseudouridine synthesis [GO:1990481]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]; tRNA pseudouridine synthesis [GO:0031119]
P58015,UPF0146 protein VNG_2609C,VNG_2609C,
Q9HMH2,Protein VNG_2543C,VNG_2543C,
Q9HSG5,Probable tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D),VNG_0243C,tRNA pseudouridine synthesis [GO:0031119]
Q9HNP3,DNA-binding protein VNG_2008H,VNG_2008H,
Q9HNN4,Putative heme-binding protein VNG_2021C,VNG_2021C,
Q9HPG6,"Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, GATase component) (Anthranilate synthase, glutamine amidotransferase component)",VNG_1646G,glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]
Q9HS66,Anthranilate synthase component 1 2 (EC 4.1.3.27) (Anthranilate synthase component I 2),VNG_0384G,tryptophan biosynthetic process [GO:0000162]
Q9HMV2,Probable tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase),VNG_2373G,
Q9HPZ6,UPF0179 protein VNG_1401C,VNG_1401C,
Q9HPG3,Anthranilate phosphoribosyltransferase (EC 2.4.2.18),VNG_1649G,tryptophan biosynthetic process [GO:0000162]
Q9HPG4,N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24),VNG_1648G,tryptophan biosynthetic process [GO:0000162]
Q9HMQ5,UPF0145 protein VNG_2432C,VNG_2432C,
Q9HMP0,UPF0200 protein VNG_2452C,VNG_2452C,
Q9HNR6,tRNA (pseudouridine(54)-N(1))-methyltransferase (EC 2.1.1.257),VNG_1980C,tRNA methylation [GO:0030488]
Q9HMM5,Nitrogen fixation protein,VNG_2472G,cellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]
Q9HRM3,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase),VNG_0632G,'de novo' IMP biosynthetic process [GO:0006189]
Q9HHV0,Monooxygenase,VNG_6214G,siderophore biosynthetic process [GO:0019290]
Q9HP47,Uncharacterized protein,VNG_1806H,
Q9HRA0,ABC transporter (Lipoprotein),VNG_0794G,
Q9HQJ8,Uncharacterized protein,VNG_1130H,
Q9HMG8,Uncharacterized protein,VNG_2549C,
Q9HR39,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),VNG_0876G,'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]
Q9HHQ3,Vng6284h,VNG_6284H,
Q9HND2,Electron transfer flavoprotein subunit alpha,VNG_2151G,
Q9HRP1,Uncharacterized protein,VNG_0609C,
Q9HMN4,Uncharacterized protein,VNG_2461H,
Q9HNF9,Uncharacterized protein,VNG_2121C,
Q9HNY6,Uncharacterized protein,VNG_1889H,
Q9HMW7,Glycine-tRNA synthetase,VNG_2352G,glycyl-tRNA aminoacylation [GO:0006426]
Q9HNL7,Uncharacterized protein,VNG_2044H,
Q9HRX9,Uncharacterized protein,VNG_0496H,
Q9HQN8,Long-chain fatty-acid-CoA ligase,VNG_1073G,menaquinone biosynthetic process [GO:0009234]
Q9HMI8,Uncharacterized protein,VNG_2522C,
,,,
Q9HRD7,Spore cortex synthesis protein,VNG_0745G,
Q9HHK2,Vng6355h,VNG_6355H,
Q9HNM8,Uncharacterized protein,VNG_2029H,
Q9HHF7,Vng6424h,VNG_6424H,
Q9HSW5,UDP-glucose 6-dehydrogenase (EC 1.1.1.22),VNG_0046G,polysaccharide biosynthetic process [GO:0000271]
,,,
Q9HR91,Succinate-semialdehyde dehydrogenase,VNG_0808G,
Q9HMG1,Ferric enterobactin transport protein,VNG_2558G,
Q9HMV3,DNA repair protein,VNG_2372G,
Q9HMI9,Uncharacterized protein,VNG_2521H,
Q9HML1,Uncharacterized protein,VNG_2495H,
Q9HHQ5,sn-glycerol-3-phosphate transport system ATP-binding,VNG_6281G,
Q9HMC0,Uncharacterized protein,VNG_2613H,
Q9HQM1,Uncharacterized protein,VNG_1095H,
Q9HR96,Uncharacterized protein,VNG_0799C,
Q9HSI2,Uncharacterized protein,VNG_0217H,
,,,
Q9HNW7,Phosphoribosyl transferase,VNG_1912G,tryptophan biosynthetic process [GO:0000162]
Q9HSV1,UDP-glucose 4-epimerase,VNG_0063G,
Q9HSA8,Bifunctional short chain isoprenyl diphosphate synthase,VNG_0321G,
Q9HRR5,Uncharacterized protein,VNG_0579H,
Q9HMS7,DNA damage-inducible protein,VNG_2404G,
Q9HMU9,Nitrite/nitrate reduction protein,VNG_2377G,transmembrane transport [GO:0055085]
Q9HHI0,Vng6385h,VNG_6385H,
Q9HPY7,Uncharacterized protein,VNG_1412H,
Q9HNC7,Uncharacterized protein,VNG_2156C,
Q9HNL8,HAM1 protein homolog,VNG_2043G,nucleoside triphosphate catabolic process [GO:0009143]
Q9HMU4,Ribonucleoside reductase small chain,VNG_2383G,deoxyribonucleotide biosynthetic process [GO:0009263]
Q9HP49,Uncharacterized protein,VNG_1802H,
Q9HSX8,Uncharacterized protein,VNG_0032H,
Q9HR04,Iron-binding protein,VNG_0924G,
Q9HMU7,Uncharacterized protein,VNG_2379H,
Q9HHP3,Vng6297c,VNG_6297C,
Q9HHI5,Vng6378h,VNG_6378H,
Q9HRR2,Cytochrome b6,VNG_0583G,respiratory electron transport chain [GO:0022904]
Q9HPV3,Phytoene synthase,VNG_1458G,carotenoid biosynthetic process [GO:0016117]; ergosterol biosynthetic process [GO:0006696]
Q9HRF1,Uncharacterized protein,VNG_0729H,
Q9HPB0,Uncharacterized protein,VNG_1720H,
Q9HSS6,Putative heat shock protein,VNG_0097G,
Q9HHR3,Vng6269c,VNG_6269C,
Q9HRM0,NADH dehydrogenase/oxidoreductase,VNG_0636G,aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]
Q9HPU4,Uncharacterized protein,VNG_1468H,
Q9HNZ6,Uncharacterized protein,VNG_1874C,
Q9HS26,Na+/H+ antiporter,VNG_0436G,
Q9HQA9,Uncharacterized protein,VNG_1246H,
Q9HP52,Uncharacterized protein,VNG_1798H,
Q9HNM6,Enoyl-CoA hydratase,VNG_2032G,
Q9HHI8,PhiH1 repressor homolog,VNG_6373G,
Q9HNR9,Uncharacterized protein,VNG_1976H,
Q9HNV8,TRK potassium uptake system protein,VNG_1924G,
Q9HS00,Uncharacterized protein,VNG_0469H,
Q9HMY1,Uncharacterized protein,VNG_2334C,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HHW7,Vng6194h,VNG_6194H,
Q9HRJ7,"ABC transporter, ATP-binding protein homolog",VNG_0667G,
Q9HP39,Uncharacterized protein,VNG_1820H,
Q9HRA9,Uncharacterized protein,VNG_0780H,
Q9HQ40,"N5,N10-methylenetetrahydromethanopterin reductase",VNG_1342G,
Q9HRJ3,Uncharacterized protein,VNG_0671H,
Q9HQK3,Uncharacterized protein,VNG_1120H,
,,,
Q9HPH0,Uncharacterized protein,VNG_1641H,
Q9HQA6,Uncharacterized protein,VNG_1250H,
Q9HMW1,Oligopeptide ABC transporter ATP-binding,VNG_2363G,peptide transport [GO:0015833]
Q9HMF7,TRK potassium uptake system protein,VNG_2565G,
Q9HHR5,Vng6266h,VNG_6266H,
Q9HRY4,Uncharacterized protein,VNG_0488H,
Q9HRR1,Uncharacterized protein,VNG_0584H,
Q9HM92,Uncharacterized protein,VNG_2645H,
Q9HS28,30S ribosomal protein S10,VNG_0433C,translation [GO:0006412]
Q9HS45,LPS biosynthesis,VNG_0410G,
Q9HME9,Uncharacterized protein,VNG_2576H,
Q9HMR9,Uncharacterized protein,VNG_2415H,
Q9HN02,Hemolysin protein,VNG_2308G,
Q9HSQ1,Uncharacterized protein,VNG_0130H,
Q9HSU2,Uncharacterized protein,VNG_0073C,
Q9HN44,Na+/Ca2+-exchanging protein,VNG_2257G,calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]
Q9HPY3,Uncharacterized protein,VNG_1417H,
Q9HP93,Uncharacterized protein,VNG_1748C,
Q9HT04,Uncharacterized protein,VNG_0001H,
Q9HQ02,Uncharacterized protein,VNG_1390H,
Q9HSK1,Uncharacterized protein,VNG_0190C,tRNA wobble position uridine thiolation [GO:0002143]
Q9HHH6,Vng6393h,VNG_6393H,
Q9HPP6,Uncharacterized protein,VNG_1534H,
Q9HSU1,Uncharacterized protein,VNG_0075H,
Q9HRT4,Uncharacterized protein,VNG_0555C,
Q9HHK8,Vng6347h,VNG_6347H,
Q9HR24,Cytidine aminohydrolase,VNG_0896G,cytidine deamination [GO:0009972]
Q9HNS8,Uncharacterized protein,VNG_1963H,
Q9HSY5,Uncharacterized protein,VNG_0025H,
Q9HSB0,Uncharacterized protein,VNG_0319H,
Q9HNR7,Uncharacterized protein,VNG_1978H,
Q9HRM6,Aminotransferase (EC 2.6.1.-),VNG_0629G,biosynthetic process [GO:0009058]
Q9HP90,Uncharacterized protein,VNG_1752C,
Q9HQW3,Uncharacterized protein,VNG_0979H,
Q9HRL4,NADH dehydrogenase/oxidoreductase-like protein,VNG_0643G,ATP synthesis coupled electron transport [GO:0042773]
Q9HRF6,Probable peptidase,VNG_0723G,
Q9HQ43,Uncharacterized protein,VNG_1339C,
Q9HPK5,Uncharacterized protein,VNG_1590H,
Q9HSY9,Uncharacterized protein,VNG_0020H,
Q9HR87,Spermidine/putrescine-binding protein,VNG_0813G,
Q9HMG7,Ferrichrome ABC transporter permease,VNG_2551G,
Q9HN65,Uncharacterized protein,VNG_2233C,
Q9HR59,Uncharacterized protein,VNG_0851C,
Q9HR80,Uncharacterized protein,VNG_0822C,
Q9HMQ9,Acyl-CoA thioester hydrolase,VNG_2426G,acyl-CoA metabolic process [GO:0006637]
Q9HMW2,Oligopeptide transport permease protein,VNG_2361G,transmembrane transport [GO:0055085]
Q9HPS7,Bacterio-opsin activator-like protein,VNG_1488G,
Q9HRH2,Molybdenum-binding protein,VNG_0700G,
Q9HQV4,Uncharacterized protein,VNG_0990H,
Q9HRZ8,Uncharacterized protein,VNG_0471C,
Q9HSR7,"Type I restriction modification enzyme, R subunit",VNG_0108G,DNA restriction-modification system [GO:0009307]
,,,
Q9HSE7,Uncharacterized protein,VNG_0267H,
Q9HPX0,Aspartate-semialdehyde dehydrogenase,VNG_1435G,homoserine biosynthetic process [GO:0009090]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]
Q9HSS3,Cold shock protein,VNG_0101G,
Q9HQG7,Cystathionine alpha synthase,VNG_1172G,cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346]
Q9HMD5,Uncharacterized protein,VNG_2594C,
Q9HP26,Cold shock protein,VNG_1836G,
Q9HRV3,Iron-dependent repressor,VNG_0530G,"negative regulation of transcription, DNA-templated [GO:0045892]"
Q9HRU8,Transcription repressor,VNG_0536G,"negative regulation of transcription, DNA-templated [GO:0045892]"
Q9HN95,Cytochrome c oxidase subunit I,VNG_2193G,aerobic respiration [GO:0009060]
Q9HSN5,Zinc-transporting ATPase,VNG_0149G,
Q9HHX5,Cationic amino acid transporter,VNG_6184G,
Q9HPQ0,"Methylmalonyl-CoA decarboxylase, subunit alpha",VNG_1529G,fatty acid biosynthetic process [GO:0006633]
Q9HHQ4,Vng6283h,VNG_6283H,
Q9HRD9,Uncharacterized protein,VNG_0742H,
Q9HRR8,Aminopeptidase,VNG_0575G,
Q9HSR0,Uncharacterized protein,VNG_0119H,
Q9HHU9,Iron transport protein C,VNG_6216G,siderophore biosynthetic process [GO:0019290]
Q9HS75,Acyl-CoA dehydrogenase,VNG_0371G,
Q9HQ67,Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase),VNG_1305G,'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]
Q9HSI8,Uncharacterized protein,VNG_0208H,
Q9HHI2,L-lactate permease,VNG_6383G,
Q9HP97,Uncharacterized protein,VNG_1740C,
Q9HQ74,Uncharacterized protein,VNG_1296C,
Q9HHQ0,Vng6288c,VNG_6288C,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HHF3,Vng6431h,VNG_6431H,
Q9HSP2,Uncharacterized protein,VNG_0141H,
Q9HPH8,Uncharacterized protein,VNG_1630H,
Q9HSL8,Uncharacterized protein,VNG_0170C,
Q9HN86,Uncharacterized protein,VNG_2205H,
Q9HNZ9,Spermidine/putrescine ABC transporter,VNG_1871G,tungstate ion transport [GO:0070614]
Q9HNI9,Transport protein,VNG_2084G,
Q9HRY8,Acetyl-CoA synthetase,VNG_0484G,
Q9HRZ0,Uncharacterized protein,VNG_0482H,
Q9HRZ5,"Pyruvate ferredoxin oxidoreductase, subunit alpha",VNG_0474G,response to oxidative stress [GO:0006979]
Q9HR34,p-nitrophenyl phosphatase,VNG_0882G,
Q9HSG4,Uncharacterized protein,VNG_0244H,
Q9HHL4,Vng6339h,VNG_6339H,
Q9HQZ7,Uncharacterized protein,VNG_0932C,
Q9HI14,Transcription initiation factor IID,VNG_6037G,"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]"
Q9HRE2,Uncharacterized protein,VNG_0737H,
Q9HNB1,Uncharacterized protein,VNG_2174H,
Q9HRY5,Uncharacterized protein,VNG_0487H,
,,,
Q9HHK0,Vng6359h,VNG_6359H,
Q9HSC6,Uncharacterized protein,VNG_0298H,
Q9HRU2,Uncharacterized protein,VNG_0543H,
Q9HRD2,Uncharacterized protein,VNG_0751C,
Q9HPX7,Uncharacterized protein,VNG_1426H,
Q9HMP2,Aminopeptidase homolog,VNG_2449G,
Q9HNA4,Uncharacterized protein,VNG_2182H,
Q9HND3,Electron transfer flavoprotein subunit beta,VNG_2150G,
Q9HRL6,Uncharacterized protein,VNG_0641C,
Q9HNP4,Uncharacterized protein,VNG_2006C,
Q9HN39,Probable queuosine precursor transporter (Q precursor transporter),VNG_2264C,queuosine salvage [GO:1990397]
Q9HMZ6,Uncharacterized protein,VNG_2315H,
Q9HMC8,Uncharacterized protein,VNG_2603H,
Q9HP30,Uncharacterized protein,VNG_1832H,
Q9HPN6,Uncharacterized protein,VNG_1546H,cell redox homeostasis [GO:0045454]
Q9HR05,Iron transporter-like protein,VNG_0923G,transmembrane transport [GO:0055085]
Q9HR64,Carbonic anhydrase,VNG_0841G,
Q9HMD6,GTP-binding protein homolog,VNG_2595G,
Q9HHQ7,sn-glycerol-3-phosphate transport system permease,VNG_6279G,transmembrane transport [GO:0055085]
Q9HMI2,Dipeptide ABC transporter permease,VNG_2529G,transmembrane transport [GO:0055085]
Q9HML7,Phosphate transport system permease protein PstA,VNG_2483G,phosphate ion transmembrane transport [GO:0035435]
Q9HR25,Uridine phosphorylase,VNG_0893G,nucleoside metabolic process [GO:0009116]
Q9HR54,Uncharacterized protein,VNG_0858C,
Q9HS29,Diadenosine tetraphosphate pyrophosphohydrolase,VNG_0431G,
Q9HQU6,Uncharacterized protein,VNG_0999H,
Q9HRJ9,Cytochrome c oxidase subunit II,VNG_0665G,ATP synthesis coupled electron transport [GO:0042773]
Q9HPM8,Uncharacterized protein,VNG_1558H,
Q9HP06,Cation efflux system protein (Zinc/cadmium),VNG_1862G,
Q9HMQ6,Uncharacterized protein,VNG_2431C,
Q9HNR2,Uncharacterized protein,VNG_1985C,
Q9HSX3,Uncharacterized protein,VNG_0038H,
Q9HM75,Cytochrome oxidase subunit I homolog,VNG_2669G,
Q9HQ87,Uncharacterized protein,VNG_1276C,mature ribosome assembly [GO:0042256]
Q9HMP4,Uncharacterized protein,VNG_2446H,
Q9HMY2,Uncharacterized protein,VNG_2333C,
Q9HMH6,Uncharacterized protein,VNG_2535H,
Q9HPV6,Uncharacterized protein,VNG_1455H,
Q9HPQ8,Uncharacterized protein,VNG_1518H,
Q9HST1,L-isoaspartyl protein carboxyl methyltransferase,VNG_0089G,
Q9HS12,Phosphate transport system permease protein PstA,VNG_0453G,phosphate ion transmembrane transport [GO:0035435]
Q9HQ77,Uncharacterized protein,VNG_1291H,
Q9HSP8,Archaeal histone A1,VNG_0134G,
Q9HMC9,Arsenite transport protein,VNG_2602G,potassium ion transport [GO:0006813]
Q9HQ83,TRK potassium uptake system protein,VNG_1282G,
Q9HRN1,Propionyl-CoA carboxylase homolog,VNG_0623G,leucine catabolic process [GO:0006552]
Q9HS61,Glucose-1-phosphate thymidylyltransferase,VNG_0390G,biosynthetic process [GO:0009058]
Q9HNQ3,Uncharacterized protein,VNG_1995C,
Q9HNJ9,Uncharacterized protein,VNG_2073C,
Q9HSJ9,Uncharacterized protein,VNG_0194H,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HP41,Transcription regulator,VNG_1816G,
Q9HHX6,Vng6183c,VNG_6183C,
Q9HPL6,Cobalamin adenosyltransferase,VNG_1574G,cobalamin biosynthetic process [GO:0009236]
Q9HRN2,Uncharacterized protein,VNG_0622H,
Q9HRU9,Uncharacterized protein,VNG_0535C,
Q9HHP1,Hydrogenase expression/formation protein,VNG_6299G,
Q9HM70,Uncharacterized protein,VNG_2678H,
Q9HMS6,Uncharacterized protein,VNG_2406C,
Q9HPJ1,Uncharacterized protein,VNG_1613H,
Q9HSJ7,Uncharacterized protein,VNG_0196H,
Q9HNQ8,Uncharacterized protein,VNG_1989H,
Q9HR66,Integrase/recombinase,VNG_0838G,DNA integration [GO:0015074]; DNA recombination [GO:0006310]
Q9HRK7,"Methylmalonyl-CoA mutase, subunit alpha",VNG_0653G,
Q9HQW7,Chemotaxis protein,VNG_0971G,chemotaxis [GO:0006935]
Q9HPV7,tRNA-splicing ligase RtcB (EC 6.5.1.-),VNG_1454C,"tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate [GO:0000971]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"
Q9HP61,Uncharacterized protein,VNG_1787H,
Q9HQK5,Uncharacterized protein,VNG_1117C,tRNA methylation [GO:0030488]; tRNA N1-guanine methylation [GO:0002939]
Q9HQR3,Uncharacterized protein,VNG_1041H,
Q9HNN3,General stress protein 69,VNG_2023G,
Q9HNV6,Pyruvate dehydrogenase alpha subunit,VNG_1926G,
Q9HPG0,Uncharacterized protein,VNG_1655H,
Q9HPN3,Cobalamin biosynthesis,VNG_1551G,cobalamin biosynthetic process [GO:0009236]; oxidation-reduction process [GO:0055114]
Q9HQ82,Uncharacterized protein,VNG_1283H,
Q9HQU1,Uncharacterized protein,VNG_1005H,
Q9HRH6,Uncharacterized protein,VNG_0692C,
Q9HRG1,Sensory histidine protein kinase homolog,VNG_0716G,
Q9HRG5,Uncharacterized protein,VNG_0709C,
Q9HRP4,Uncharacterized protein,VNG_0604H,
Q9HP63,Pantothenate permease,VNG_1785G,
Q9HQB9,Uncharacterized protein,VNG_1234C,protein autophosphorylation [GO:0046777]
Q9HQF2,Uncharacterized protein,VNG_1189H,
Q9HS05,Uncharacterized protein,VNG_0463C,
Q9HNA5,MCM / cell division control protein 21,VNG_2181G,cell division [GO:0051301]; DNA replication initiation [GO:0006270]; intein-mediated protein splicing [GO:0016539]
Q9HN26,Uncharacterized protein,VNG_2281C,
Q9HQ85,Uncharacterized protein,VNG_1280C,
Q9HQE6,Bacterioferritin comigrating protein,VNG_1197G,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]
Q9HME4,Uncharacterized protein,VNG_2582H,
Q9HI00,Vng6149h,VNG_6149H,
Q9HRG9,Uncharacterized protein,VNG_0704C,
Q9HP45,Uncharacterized protein,VNG_1809H,
Q9HPA6,Htr-like protein,VNG_1726G,
Q9HN71,Alanine dehydrogenase (AlaDH) (EC 1.4.1.1),VNG_2224G,alanine metabolic process [GO:0006522]
Q9HNA3,Uncharacterized protein,VNG_2183H,
Q9HS58,Uncharacterized protein,VNG_0394C,
Q9HRV9,DNA polymerase (EC 2.7.7.7),VNG_0521G,DNA-dependent DNA replication [GO:0006261]
Q9HMG3,Uncharacterized protein,VNG_2555C,
,,,
Q9HST2,Molybdenum cofactor biosynthesis protein,VNG_0090G,molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315]; molybdopterin cofactor biosynthetic process [GO:0032324]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HR67,Uncharacterized protein,VNG_0837H,
Q9HHK7,Vng6348h,VNG_6348H,
Q9HP56,Uncharacterized protein,VNG_1794C,
F2Z6H5,Chemotaxis protein,VNG_0974G,phosphorelay signal transduction system [GO:0000160]
Q9HPG9,Uncharacterized protein,VNG_1642H,
Q9HPA0,Uncharacterized protein,VNG_1735C,
Q9HSF9,Uncharacterized protein,VNG_0251C,
Q9HRF2,Uncharacterized protein,VNG_0727C,
Q9HHX8,Vng6181h,VNG_6181H,
Q9HSS9,Uncharacterized protein,VNG_0094C,
Q9HRJ5,Uncharacterized protein,VNG_0669H,transmembrane transport [GO:0055085]
Q9HSM9,Uncharacterized protein,VNG_0156C,
Q9HMJ6,Aldehyde dehydrogenase (Retinol),VNG_2513G,
Q9HHS3,Vng6255c,VNG_6255C,
Q9HMC2,GTPase HflX (GTP-binding protein HflX),VNG_2611G,
Q9HQG4,Archaeal nucleolar protein homolog,VNG_1174G,
Q9HNR8,Uncharacterized protein,VNG_1977H,
Q9HQ65,Succinate dehydrogenase subunit B,VNG_1308G,aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]
Q9HNG9,Uncharacterized protein,VNG_2109H,
Q9HS82,Uncharacterized protein,VNG_0361C,
Q9HN37,Sec-independent protein translocase protein TatC,VNG_2267G,intracellular protein transmembrane transport [GO:0065002]; protein transport by the Tat complex [GO:0043953]
